make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,brand,transmission,color,service_history,accidents_reported,insurance_valid,actual_price_usd,predicted_price_usd
2013,23.95,3000,Diesel,4,BMW,Manual,Gray,Partial,0,Yes,10564.03,8781.81672882166
2001,18.72,2500,Electric,2,Kia,Manual,Silver,Full,0,Yes,8409.16,9546.373378840106
2022,22.2,3000,Petrol,1,Toyota,Manual,Blue,Full,1,Yes,11152.22,11298.350127541158
2015,25.12,5000,Petrol,3,Volkswagen,Manual,Silver,Partial,2,Yes,12597.77,12684.980125737191
2015,21.7,1500,Diesel,2,Chevrolet,Automatic,Red,Partial,3,No,5447.44,7593.33634902047
2007,19.23,1000,Petrol,3,Tesla,Manual,Red,Full,1,No,3348.39,4813.617762519933
2017,19.68,1000,Petrol,4,Honda,Manual,Black,Full,2,No,4936.44,5910.738078313692
2017,10.95,3000,Petrol,5,Kia,Manual,Blue,Full,0,No,8492.47,7276.558250535532
1996,21.04,1200,Petrol,2,Honda,Manual,Red,Full,1,Yes,3932.58,4216.620463057872
2019,22.38,1200,Petrol,5,Ford,Manual,Red,,0,Yes,6072.5,6289.612169105773
2017,24.83,1200,Petrol,4,Chevrolet,Automatic,Blue,,0,Yes,6553.08,6714.034436339694
1997,21.76,5000,Diesel,1,Volkswagen,Automatic,White,Partial,0,No,8319.81,10657.57325787962
1998,13.99,3000,Diesel,3,Chevrolet,Manual,Black,,1,No,7058.39,5836.371051763489
2012,16.94,800,Petrol,2,Nissan,Manual,White,Full,1,Yes,5910.65,5449.868330159594
1998,22.09,1500,Petrol,2,Kia,Manual,Silver,,1,Yes,5478.68,4999.914273638708
2016,23.24,2000,Diesel,4,Nissan,Manual,Silver,Partial,0,Yes,8321.32,7586.407073110722
2006,12.31,2000,Diesel,3,Kia,Manual,Blue,Partial,1,Yes,5046.81,5261.4703164586335
2018,16.29,1200,Diesel,2,Kia,Manual,Red,Partial,1,Yes,6906.61,6899.174455436529
2021,17.83,2500,Diesel,5,Tesla,Manual,Silver,Partial,0,No,7492.78,7918.659257905631
2018,23.48,3000,Diesel,1,Chevrolet,Manual,Gray,Partial,0,Yes,11498.79,10855.617173280723
1999,14.04,2000,Petrol,1,Nissan,Automatic,Black,Full,2,No,4626.75,5509.657359031307
2002,14.5,1800,Diesel,2,Honda,Manual,White,Partial,1,Yes,5089.96,5181.890131154667
2010,18.63,800,Diesel,2,Chevrolet,Manual,Red,Full,1,Yes,3018.16,5376.548834759397
2017,20.88,5000,Diesel,2,BMW,Manual,Silver,Partial,2,Yes,11390.41,12978.805547202384
1995,16.86,3000,Electric,1,Nissan,Automatic,Red,Partial,1,Yes,10091.19,9754.606728236664
2004,8.46,800,Diesel,1,Honda,Automatic,Gray,Full,0,Yes,4657.62,3722.6905998880493
2021,19.99,5000,Diesel,4,Tesla,Manual,Gray,Full,0,Yes,13853.11,12372.691781492938
2000,26.4,800,Diesel,4,Volkswagen,Automatic,Gray,Full,1,Yes,4355.25,3860.3931194088477
2018,18.02,1000,Diesel,2,Ford,Manual,Black,Partial,0,Yes,8081.9,6758.300293971199
2013,17.29,1000,Diesel,1,Hyundai,Automatic,Red,Partial,1,No,5135.82,6486.134187351661
2003,21.51,4000,Diesel,4,Hyundai,Automatic,White,Partial,2,No,9110.93,8491.937024307575
2016,22.64,5000,Diesel,1,Nissan,Manual,Silver,,0,Yes,14147.61,13464.794660781221
2000,11.16,1500,Electric,5,Kia,Automatic,Red,Partial,0,No,4498.95,5640.071496455579
2013,14.18,1800,Petrol,3,BMW,Automatic,White,,0,No,5738.55,6373.832969239194
2017,24.81,2500,Petrol,2,Kia,Manual,Blue,,0,No,8375.59,9672.154963127534
2007,18.48,2000,Petrol,5,Nissan,Automatic,Gray,Full,0,Yes,4981.61,5195.624334316932
2016,15.96,1800,Electric,1,Kia,Automatic,Black,Partial,2,Yes,12036.47,10951.494503637798
2012,12.3,1500,Petrol,5,Hyundai,Automatic,Blue,Partial,3,Yes,3420.39,4416.559413428013
2017,16.99,3000,Petrol,4,Kia,Automatic,Black,Partial,0,Yes,7750.85,8524.363266421986
2003,22.54,1800,Petrol,2,Volkswagen,Automatic,Gray,Partial,0,Yes,7270.53,6302.902699494007
2009,22.16,1500,Electric,1,Toyota,Automatic,Blue,Full,1,No,10956.46,10184.513252656936
2018,20.05,5000,Diesel,3,Nissan,Manual,White,Partial,0,No,11300.95,12538.690364432096
2013,17.65,3000,Petrol,5,Volkswagen,Manual,Blue,,0,Yes,6831.92,7502.822146320757
2013,24.57,1200,Petrol,5,Tesla,Manual,Red,Full,0,No,5252.19,5668.019189939441
2007,26.15,5000,Petrol,3,Nissan,Manual,Gray,Full,0,Yes,11526.89,11569.94468911037
2018,21.94,800,Diesel,2,Tesla,Manual,Silver,Full,0,Yes,6155.3,6862.58315229239
2010,15.73,2500,Petrol,2,Honda,Automatic,Red,Partial,0,Yes,6348.91,7608.1301061652575
1999,15.91,5000,Petrol,4,Volkswagen,Automatic,Gray,Full,0,Yes,9406.96,8710.755251150476
2011,26.66,4000,Petrol,5,Toyota,Manual,Blue,Full,0,Yes,10279.1,9734.818399174796
1997,11.26,5000,Petrol,2,Ford,Manual,Gray,Partial,0,Yes,9296.34,8748.893843882812
2004,15.07,1000,Diesel,3,Tesla,Automatic,White,Full,0,Yes,2701.01,3806.959345217162
2009,14.43,800,Diesel,1,Chevrolet,Automatic,Silver,Full,1,Yes,4343.05,5152.494593415834
2020,20.35,5000,Diesel,1,Nissan,Manual,Black,Full,0,Yes,13680.96,13826.11840889048
2019,22.34,4000,Petrol,2,Kia,Automatic,Blue,Full,1,No,10645.63,11930.347852695173
1996,22.69,3000,Petrol,1,BMW,Manual,Silver,Partial,1,Yes,5910.72,7565.976548064721
1998,25.38,1000,Diesel,5,Nissan,Automatic,Red,,0,Yes,3689.33,3269.3338778252173
2019,17.83,1800,Diesel,3,Nissan,Automatic,Black,Full,0,No,6908.15,7661.503476725233
2017,10.05,4000,Diesel,5,Hyundai,Manual,Red,Full,1,No,9429.73,8719.540653667987
2020,10.81,1800,Diesel,1,Honda,Manual,White,Full,1,Yes,7402.13,7903.415230275417
2021,26.53,3000,Petrol,5,Toyota,Automatic,Black,Partial,1,Yes,10401.27,9779.992276028028
2016,15.29,2500,Petrol,2,BMW,Manual,Gray,Full,0,Yes,9527.84,8409.02231897221
2011,20.27,2000,Petrol,1,Tesla,Automatic,Red,Full,1,No,7885.69,8020.413594822259
2020,5.0,2000,Petrol,1,Volkswagen,Manual,Blue,,1,Yes,8468.58,7481.328074413319
2010,18.0,1800,Diesel,1,Hyundai,Manual,Gray,Partial,1,Yes,7049.31,7204.336248315853
1999,10.87,800,Petrol,3,Nissan,Automatic,Black,Full,0,No,1000.0,2346.6793491137105
2001,21.33,800,Petrol,1,BMW,Automatic,White,Full,1,Yes,7017.79,4906.626611433471
2010,10.9,800,Diesel,5,Nissan,Automatic,Gray,,0,Yes,2371.85,2936.7967672916357
2002,25.22,2000,Diesel,5,Chevrolet,Automatic,Red,Full,0,Yes,6787.27,5318.360304677224
2022,32.47,1800,Electric,5,Toyota,Automatic,Red,Full,0,No,10956.14,11930.0630092004
2015,20.16,1800,Petrol,2,Chevrolet,Manual,Gray,Partial,0,No,8080.17,7756.370434595589
2004,26.79,4000,Diesel,1,Hyundai,Automatic,Red,Full,0,No,10928.95,10775.141699827334
2009,7.41,3000,Petrol,1,BMW,Automatic,Silver,,1,Yes,9518.85,7667.3137651557345
1998,13.91,4000,Petrol,1,Chevrolet,Manual,Gray,Full,1,Yes,8637.7,8218.98482865385
2006,14.64,1200,Diesel,3,Kia,Manual,Black,Full,1,No,4434.12,4434.152686309906
2005,14.62,1000,Diesel,4,Tesla,Manual,Black,Partial,0,Yes,3766.65,3406.7887986630394
2021,16.69,3000,Diesel,2,Ford,Automatic,Black,Full,1,Yes,11453.16,10051.150329710174
2008,13.8,1500,Petrol,2,Chevrolet,Manual,Blue,,1,Yes,6459.71,5458.99156919512
2015,26.03,2500,Diesel,2,Ford,Manual,Red,Full,0,Yes,10088.29,9549.860812795543
2016,12.96,3000,Diesel,3,Toyota,Manual,Red,Full,0,Yes,9081.46,8388.593035127973
2000,18.25,1200,Diesel,4,Honda,Automatic,Silver,Full,0,Yes,4112.42,3439.4861653454045
2007,18.43,1500,Electric,1,Volkswagen,Manual,Gray,Full,0,Yes,9636.05,9446.852154977993
2004,13.11,1500,Diesel,1,Honda,Automatic,White,Partial,0,Yes,5602.96,5361.600445315809
2000,20.6,2000,Petrol,5,Volkswagen,Automatic,Red,Full,0,Yes,3206.7,4523.017478748992
2002,18.17,1500,Petrol,3,Ford,Manual,Blue,Full,2,Yes,3327.22,4609.061187827887
2011,16.98,2500,Diesel,5,Tesla,Manual,Gray,Partial,1,No,5472.46,6334.7356985348015
2023,20.81,3000,Petrol,5,Ford,Automatic,Silver,Partial,1,Yes,8033.5,9331.00064604466
2017,11.51,1500,Diesel,2,Tesla,Manual,Blue,Partial,0,Yes,6217.12,6490.4815848570815
2011,25.9,2000,Petrol,1,Ford,Manual,Black,Partial,0,Yes,8869.47,8648.641896320325
2022,14.19,1200,Diesel,4,Kia,Manual,Blue,,0,Yes,4893.02,6180.985345095652
2017,18.15,2000,Petrol,2,Tesla,Manual,Gray,Full,0,No,9188.69,8081.287063197289
2020,20.59,1000,Electric,1,Honda,Automatic,Gray,Full,1,Yes,10384.17,10885.467840102794
2002,18.05,3000,Diesel,1,Hyundai,Manual,Red,Partial,1,Yes,7948.7,7881.755961548924
2010,22.55,1200,Petrol,1,Nissan,Automatic,Gray,,0,Yes,7191.96,6894.858722742512
2007,24.1,1200,Diesel,1,BMW,Manual,White,Partial,0,Yes,5488.03,6716.985079907123
2010,20.99,2500,Diesel,3,Nissan,Manual,Black,Full,0,Yes,6329.83,7702.261453427402
1998,22.32,800,Diesel,5,Ford,Manual,Red,Partial,1,No,4421.82,2603.22820258906
2019,23.62,2500,Electric,4,Honda,Automatic,Black,Partial,0,Yes,10860.05,11912.868585081533
2020,21.25,1000,Petrol,1,Kia,Manual,Black,Partial,0,Yes,8262.2,7950.734710219045
1999,22.76,1500,Petrol,4,Nissan,Automatic,White,Partial,0,Yes,6202.01,4295.8416966548475
2022,17.77,1000,Petrol,1,Volkswagen,Manual,Gray,,1,Yes,8692.97,7837.841207370747
2003,15.12,1000,Electric,4,Volkswagen,Manual,Silver,Full,0,No,6025.17,6270.048171789833
2020,26.57,5000,Diesel,4,Hyundai,Manual,Blue,Partial,0,Yes,14868.72,13028.182005832101
2007,9.33,1500,Petrol,4,Hyundai,Manual,Gray,Partial,0,Yes,4523.35,3785.9567794368113
2006,14.9,4000,Petrol,5,Tesla,Automatic,Silver,Partial,1,Yes,7577.97,7553.474830833161
2007,21.83,2500,Petrol,1,Ford,Automatic,Gray,Full,1,Yes,8139.58,8286.611406311551
1998,26.2,1000,Petrol,5,Chevrolet,Manual,Silver,Full,1,Yes,2878.53,3263.5586819464415
2010,15.32,5000,Diesel,4,Tesla,Manual,Silver,Partial,1,Yes,12104.17,10173.143936985472
2004,26.04,1500,Diesel,3,Tesla,Automatic,Black,Full,0,Yes,6198.79,5889.388386960289
2022,8.13,2500,Petrol,4,Honda,Automatic,Red,Full,0,No,6761.21,7531.985570644003
1998,13.02,1200,Petrol,5,Hyundai,Manual,Blue,Partial,2,Yes,1000.0,1954.8844465288385
2019,17.51,1200,Petrol,4,Volkswagen,Manual,White,,0,Yes,5347.66,6219.31040617086
2023,23.87,1500,Electric,2,Nissan,Manual,Black,Partial,0,Yes,11328.4,11991.397207809609
2012,12.52,1800,Diesel,5,Chevrolet,Manual,Red,Full,1,Yes,4558.63,4962.398218130569
2015,21.65,4000,Petrol,2,Tesla,Manual,Silver,Full,0,No,9344.11,11193.253003812908
1998,21.24,2500,Diesel,3,Volkswagen,Manual,White,,0,Yes,4909.06,5982.300013744919
1997,11.63,4000,Diesel,1,Kia,Automatic,Black,Partial,1,Yes,9114.2,7871.469366929197
2009,18.38,1200,Petrol,5,Tesla,Manual,White,Partial,0,No,4261.42,4287.299199695697
2007,25.0,1200,Petrol,4,Kia,Manual,Gray,Full,2,Yes,6331.14,5270.306051180009
2008,24.38,2500,Petrol,1,Hyundai,Manual,Gray,Full,0,No,8377.09,8751.225155965147
1999,17.66,4000,Petrol,2,BMW,Manual,Gray,Full,0,Yes,8426.82,8408.09160235082
2012,17.55,1500,Diesel,5,Ford,Automatic,Silver,Partial,0,Yes,4495.98,5059.354142929515
2002,19.05,2500,Diesel,4,Honda,Manual,Black,Full,1,Yes,6283.52,5809.907530281878
2004,17.59,5000,Petrol,1,Ford,Automatic,Silver,Full,0,Yes,11958.04,11057.037030073583
2013,15.18,800,Petrol,2,Honda,Manual,Red,Full,1,Yes,6013.65,5439.309503735453
2002,16.2,5000,Petrol,5,Volkswagen,Automatic,Blue,Full,1,Yes,7738.19,8697.676023779479
2005,27.08,1200,Diesel,5,Volkswagen,Manual,Red,Full,0,Yes,5025.89,4845.302727587431
2019,20.11,1800,Diesel,2,Hyundai,Manual,Blue,Full,0,Yes,11058.79,8296.21692367914
2011,10.04,1200,Petrol,2,Toyota,Automatic,Silver,Partial,1,Yes,4416.4,5033.684659208028
2022,11.31,1000,Diesel,2,Kia,Manual,White,,0,No,6649.22,6588.34901202741
2018,18.51,3000,Diesel,2,Nissan,Manual,Gray,Partial,0,Yes,9996.66,9786.587786546392
2018,23.18,3000,Diesel,3,Hyundai,Automatic,Blue,Full,0,Yes,9773.77,9836.22327654374
2005,26.55,5000,Diesel,2,Kia,Automatic,Blue,Full,0,Yes,11598.03,11816.229694439786
2022,15.73,1800,Petrol,5,Chevrolet,Automatic,Red,Partial,1,No,6965.14,6881.097795987263
2000,21.24,1000,Petrol,4,Volkswagen,Manual,Blue,Full,0,Yes,3385.55,3503.702018271837
2006,24.01,1200,Diesel,2,Toyota,Automatic,Red,Partial,1,Yes,5626.88,6053.3031771049855
2012,16.39,2500,Petrol,4,Toyota,Manual,Blue,Partial,1,No,8005.46,6927.903398928531
1996,19.53,1000,Diesel,2,Nissan,Automatic,Blue,Partial,0,Yes,3358.04,3653.077906828965
2019,20.61,1200,Petrol,1,Chevrolet,Manual,Gray,Partial,0,Yes,9957.69,7963.574390966535
2015,19.21,2000,Diesel,3,Hyundai,Manual,Black,Full,2,Yes,7589.1,7461.365124745337
2005,17.55,1200,Electric,1,Hyundai,Manual,Blue,Partial,0,No,7741.04,8543.949153855598
2022,5.0,2000,Diesel,5,Nissan,Manual,Gray,Full,0,Yes,6973.21,5787.968071930146
2022,18.36,4000,Electric,5,Nissan,Manual,Red,Full,0,No,13318.23,13507.822879338959
2018,12.28,1500,Petrol,3,Volkswagen,Manual,Silver,Full,0,Yes,6199.44,6341.798302942603
2002,24.03,800,Diesel,4,Chevrolet,Manual,Blue,Partial,1,No,2981.1,3817.016721834543
2002,14.93,2000,Diesel,4,Volkswagen,Manual,Red,Full,0,Yes,4323.73,4614.797134967546
2007,21.7,1200,Diesel,4,Honda,Manual,Blue,Partial,0,Yes,3925.3,4875.599440776035
2001,11.71,5000,Diesel,3,Chevrolet,Automatic,Red,Partial,0,No,9230.68,9031.082412316668
2022,16.42,1500,Diesel,4,Tesla,Manual,White,,0,No,6146.92,6926.737742490007
2018,19.73,2000,Diesel,4,Nissan,Automatic,White,Full,0,No,5441.42,7542.940526939945
2018,17.68,1000,Diesel,4,Tesla,Automatic,Gray,Partial,1,No,5003.96,5722.048667800665
2000,22.05,3000,Petrol,4,Honda,Automatic,Black,Full,2,Yes,4710.35,6635.840737937875
1995,11.58,800,Petrol,4,Nissan,Automatic,Red,,0,No,1000.0,1375.6393825607938
2001,14.75,1000,Petrol,3,Honda,Automatic,Gray,Full,2,No,4459.78,3396.472581175737
2001,16.72,2500,Diesel,3,Kia,Manual,Black,Partial,1,Yes,4889.1,5848.572652981641
2008,19.65,4000,Diesel,5,Hyundai,Manual,Blue,Full,1,No,8548.87,8463.387274311694
2001,10.54,2500,Petrol,4,Kia,Manual,Black,,0,Yes,4380.87,4604.8812261461135
2017,18.91,1800,Petrol,5,Toyota,Manual,Silver,Full,2,Yes,5739.73,6419.2476247028835
2013,15.4,3000,Petrol,1,Hyundai,Manual,Red,Full,1,Yes,8852.97,9194.38762356036
1996,19.24,4000,Petrol,4,Chevrolet,Manual,Silver,Full,0,Yes,6098.83,7092.189034760567
2004,16.81,4000,Diesel,2,BMW,Manual,Red,Full,0,Yes,8677.56,9121.675837502886
1996,29.15,1800,Petrol,5,BMW,Manual,Black,Full,2,Yes,6529.71,4645.858192754909
2022,6.79,2500,Petrol,1,Tesla,Manual,Silver,,1,Yes,7828.79,8655.471530280654
2021,25.12,1500,Petrol,3,Ford,Automatic,Black,,0,Yes,7681.85,8331.232793857249
1997,20.94,2000,Diesel,2,Hyundai,Manual,Gray,,0,No,3102.34,5467.2133758579985
2011,13.86,800,Diesel,2,BMW,Manual,Gray,Full,0,Yes,4727.89,4956.515037227073
2012,6.1,800,Diesel,3,Honda,Manual,White,,2,No,2779.2,3710.684640305567
2013,20.93,1800,Diesel,3,Kia,Manual,White,Partial,0,Yes,6876.33,7083.023207432988
2020,23.27,800,Petrol,1,Honda,Automatic,Black,Full,1,No,6981.33,7968.797403741615
2013,16.55,1000,Petrol,1,Ford,Automatic,Silver,Partial,1,Yes,6454.72,6296.47823527071
1998,23.68,1800,Petrol,3,Chevrolet,Manual,Gray,Full,1,Yes,6242.26,5134.546650911527
2007,6.31,3000,Petrol,2,Honda,Manual,Silver,Partial,0,No,8564.15,6720.981966262217
2010,16.16,1000,Diesel,5,Chevrolet,Manual,Gray,Full,0,Yes,3182.55,3836.9541337475966
2020,14.31,3000,Electric,3,Hyundai,Manual,White,Full,0,Yes,12844.83,12102.592506879275
2019,21.38,1200,Electric,3,Volkswagen,Manual,White,Full,1,Yes,10412.89,10198.122128695217
2019,22.84,800,Diesel,1,Nissan,Automatic,Red,,1,Yes,7673.0,7747.830537074063
2015,5.98,5000,Petrol,5,Hyundai,Manual,Silver,Full,1,Yes,10046.75,9314.871233321264
2015,26.73,5000,Petrol,3,Hyundai,Automatic,Black,Partial,0,Yes,13129.68,12852.926314649547
2012,21.04,1500,Electric,1,Tesla,Manual,Gray,,0,Yes,13113.19,10411.753828691037
1997,19.83,5000,Electric,3,Tesla,Automatic,Blue,Partial,1,Yes,13482.86,12293.20614202596
2015,22.16,5000,Petrol,2,BMW,Automatic,Gray,Partial,1,Yes,12586.52,12843.230136182494
1995,12.85,1000,Petrol,3,Nissan,Manual,Red,,0,Yes,2191.9,2268.6612647507372
2007,24.04,3000,Diesel,5,BMW,Manual,Gray,,0,Yes,8477.88,7412.099132083709
2016,21.24,1800,Petrol,5,Tesla,Manual,Black,Full,1,No,6413.09,6585.304614004692
2002,13.02,2000,Diesel,2,Chevrolet,Automatic,Red,Partial,1,Yes,4896.12,5314.146012315634
2001,26.61,5000,Electric,1,Chevrolet,Automatic,White,Full,0,Yes,15318.11,14753.552019194974
2001,11.05,1800,Petrol,3,Toyota,Automatic,Silver,Full,0,Yes,4234.47,4072.440423978527
2008,16.4,1500,Electric,3,Nissan,Manual,Silver,Full,2,Yes,8391.33,8334.453593012668
1995,12.42,5000,Diesel,1,Kia,Manual,White,Full,0,Yes,8271.16,9137.486698324117
2017,16.94,4000,Petrol,1,Hyundai,Manual,Black,Full,0,Yes,12801.72,11438.268434220457
1998,24.57,2500,Diesel,3,Tesla,Automatic,Gray,Partial,1,No,6813.8,6310.3486448434505
2009,23.62,5000,Petrol,4,Honda,Automatic,Red,Full,1,Yes,10490.67,11175.761820221222
2018,22.6,1200,Diesel,4,Nissan,Manual,Red,,0,Yes,7936.73,6682.531921996398
2016,18.04,1800,Diesel,3,Toyota,Manual,Blue,Partial,1,No,8778.28,7169.769750897898
1998,15.11,800,Diesel,5,Honda,Manual,Silver,Partial,1,Yes,2984.55,1665.2339809282357
2012,12.8,1000,Diesel,5,BMW,Manual,Gray,Full,1,Yes,3914.22,3812.9667177489428
2017,24.69,4000,Petrol,5,Honda,Manual,Red,Partial,1,Yes,9412.2,10497.123497651815
2013,19.79,3000,Diesel,4,Kia,Manual,Red,Partial,0,Yes,7683.78,8285.650653354143
2013,18.65,2500,Petrol,5,Tesla,Manual,Gray,Partial,0,Yes,5886.67,6790.8146395599
2002,14.34,1500,Diesel,3,Volkswagen,Manual,Gray,,1,Yes,2086.87,4221.414752471101
2015,13.82,1800,Diesel,5,Honda,Manual,Gray,Partial,0,No,5297.41,5564.798576219753
2022,23.79,1200,Diesel,5,Kia,Manual,Black,,0,Yes,7912.37,6903.016341183689
2023,14.7,3000,Diesel,3,Tesla,Automatic,Gray,Full,1,Yes,10912.47,9549.331330234334
2013,22.49,2000,Diesel,4,Nissan,Automatic,Black,Full,0,Yes,6228.83,7107.314044280298
2022,14.1,4000,Petrol,4,Ford,Automatic,Blue,,1,Yes,9608.42,10347.924775553365
2017,12.39,1000,Electric,2,Volkswagen,Manual,Gray,Full,0,Yes,7823.06,8968.020603918765
2014,11.72,800,Diesel,4,Hyundai,Automatic,White,Partial,1,Yes,3764.71,4124.231040593225
1998,23.53,5000,Petrol,3,Ford,Automatic,Gray,Partial,0,Yes,10879.1,9905.458193680446
2003,16.03,2500,Petrol,3,Ford,Manual,Red,,0,Yes,6130.08,6062.677016578373
1997,13.27,5000,Petrol,3,Hyundai,Manual,Black,Partial,2,Yes,7401.27,8543.21204958111
1998,12.96,1800,Diesel,5,Nissan,Manual,Silver,Full,0,Yes,1000.0,2879.2986096655995
2005,18.12,1800,Diesel,2,BMW,Automatic,Silver,,1,Yes,5689.27,6089.084758198218
2016,5.0,2000,Petrol,5,Toyota,Manual,White,Full,0,Yes,3923.74,4913.233169361192
2009,11.28,800,Petrol,1,Hyundai,Manual,Blue,Full,0,Yes,6836.24,4731.932231486814
2019,21.27,1800,Electric,4,Nissan,Manual,White,Partial,0,Yes,11779.19,10542.944152152842
2007,12.42,3000,Diesel,2,Hyundai,Manual,Red,,1,Yes,5683.91,7456.838740096518
2008,25.77,1200,Petrol,2,Nissan,Manual,White,Full,0,Yes,7666.25,6515.678064865568
2017,13.56,1800,Petrol,4,Kia,Manual,Blue,Full,1,Yes,6971.94,6257.608330929769
2013,18.76,1800,Electric,2,Honda,Manual,White,Full,0,Yes,9821.73,10343.186204833242
2010,23.12,1000,Diesel,4,Hyundai,Automatic,Gray,Partial,0,No,6066.37,5204.770647040839
2010,11.22,1800,Petrol,5,Ford,Manual,Blue,Full,0,No,5700.81,4455.22452857108
2023,17.93,3000,Diesel,2,BMW,Manual,White,Partial,0,No,10473.67,10586.388964754075
2013,33.07,1000,Petrol,4,Toyota,Automatic,Gray,Full,0,Yes,6671.08,6836.858346414963
2012,17.45,4000,Diesel,4,Tesla,Automatic,Silver,Full,0,Yes,9734.24,9244.310549739432
1997,19.74,5000,Electric,4,BMW,Manual,White,Full,0,Yes,12484.76,11927.5452282867
2011,17.58,1500,Diesel,5,Volkswagen,Manual,Blue,Partial,1,Yes,3718.56,4963.083157481934
1996,13.12,3000,Petrol,4,BMW,Manual,Red,,1,Yes,4866.68,5013.220111794032
2014,15.91,1200,Petrol,3,Ford,Automatic,Red,,0,Yes,6186.68,5755.617113687866
2006,14.78,1200,Diesel,5,Ford,Automatic,Red,Full,2,Yes,3598.19,3463.647446271315
2005,16.5,1000,Electric,5,Tesla,Manual,White,Partial,1,Yes,5717.92,6153.349007563189
1997,17.52,1800,Diesel,2,Ford,Automatic,Blue,,1,No,3769.63,4772.530886432996
2012,27.97,1800,Diesel,3,Nissan,Manual,White,Full,0,Yes,7605.31,7788.327425344585
1997,19.34,3000,Electric,2,BMW,Automatic,White,Partial,0,Yes,10607.53,9881.629349136398
2011,19.96,3000,Petrol,1,BMW,Manual,Red,Full,0,Yes,8991.85,9534.308300714907
2007,23.06,1800,Electric,5,Nissan,Automatic,Gray,Partial,0,Yes,6744.96,8467.065240158934
2014,25.12,2500,Diesel,4,Nissan,Manual,Blue,Full,0,No,8143.13,8291.515463122101
1997,5.97,1200,Diesel,3,BMW,Automatic,White,Full,0,Yes,3691.43,2074.379211564852
2004,17.67,5000,Diesel,3,BMW,Manual,White,Full,1,No,11852.06,10233.31683364824
1995,30.14,2000,Petrol,1,Nissan,Automatic,Silver,,1,Yes,6383.73,6778.69603478536
2001,26.86,1500,Petrol,1,Tesla,Manual,Gray,Full,0,Yes,7534.81,6461.405485835211
2002,17.6,2000,Diesel,5,Ford,Manual,White,Full,0,Yes,4314.29,4346.226475698849
2013,20.27,1800,Diesel,4,Volkswagen,Automatic,Gray,Partial,0,No,5981.61,6576.839296768816
2009,10.27,5000,Petrol,1,Hyundai,Manual,Blue,,0,Yes,9601.87,10885.549088670667
2021,12.4,1800,Petrol,2,Volkswagen,Automatic,White,Full,0,No,8072.86,7822.247762810275
2014,17.39,800,Diesel,4,Tesla,Manual,Silver,Full,0,Yes,4645.11,4739.385844134151
2007,26.08,1000,Petrol,2,Nissan,Automatic,Gray,Full,0,Yes,5429.58,6087.389255027332
1996,14.42,3000,Diesel,5,Volkswagen,Automatic,White,Partial,0,No,4174.01,4676.747678765334
2020,22.84,2500,Diesel,4,Volkswagen,Manual,Black,Full,0,Yes,8177.62,8968.356544427324
2012,15.14,1000,Petrol,2,Hyundai,Automatic,Black,Full,0,Yes,4074.31,5518.870424018116
2013,21.06,1200,Petrol,5,Toyota,Manual,Gray,,0,Yes,5411.61,5181.133070289938
1997,12.22,1500,Diesel,1,Honda,Manual,Blue,Full,1,Yes,3816.81,4162.938983575044
1997,9.4,2000,Petrol,1,Toyota,Manual,Red,Partial,1,Yes,3825.36,4614.977817315308
1997,21.95,1000,Diesel,2,Hyundai,Automatic,Gray,Full,0,No,3865.01,4108.767841648616
2015,14.42,4000,Diesel,3,Volkswagen,Automatic,Blue,Partial,0,Yes,9235.67,9899.228277587612
2014,18.22,1500,Petrol,3,Kia,Manual,Red,Full,1,Yes,6113.12,6493.373889019911
2007,7.31,800,Diesel,4,Nissan,Automatic,Blue,Full,1,No,2977.78,2575.1327909149295
1997,19.87,1500,Diesel,4,Kia,Automatic,White,Partial,0,Yes,4711.94,3651.214329426344
1995,22.09,4000,Petrol,5,Kia,Automatic,Gray,Partial,2,No,7655.0,6875.694969357513
2003,21.05,2000,Petrol,5,Ford,Automatic,Blue,Partial,1,Yes,4975.23,4883.294041098441
2006,22.51,4000,Petrol,3,Ford,Manual,White,,1,No,8904.83,9536.12610532696
2010,18.99,4000,Diesel,2,Chevrolet,Automatic,White,Full,1,No,9799.57,10213.526413474825
2022,27.32,5000,Petrol,2,Volkswagen,Manual,Blue,Full,1,No,14951.55,14505.233448417432
1997,17.91,1500,Diesel,1,Hyundai,Manual,White,Partial,0,Yes,4401.39,4839.024597309606
2014,16.21,4000,Diesel,5,Honda,Manual,White,,1,Yes,10116.14,8994.59031285002
2018,13.51,2500,Petrol,4,Hyundai,Manual,Gray,Full,0,Yes,7219.15,7422.702259045271
1998,22.26,1500,Diesel,5,Chevrolet,Manual,White,,1,Yes,3771.63,3572.565208273377
1995,5.52,1500,Electric,2,Kia,Automatic,Silver,Partial,1,Yes,4227.6,5580.966242625404
1998,15.98,1000,Petrol,4,Kia,Manual,Gray,Full,0,Yes,2424.46,2533.817676886926
2021,24.11,1000,Petrol,4,BMW,Manual,Red,Full,1,Yes,6398.21,7072.029543499566
2009,22.45,4000,Diesel,3,Tesla,Automatic,Silver,,3,Yes,9480.17,9904.371873166818
2004,14.56,1200,Petrol,3,Chevrolet,Manual,Blue,Partial,0,Yes,4443.54,4013.244130813575
2009,22.83,1500,Diesel,5,Honda,Manual,White,Partial,0,Yes,5376.58,5310.279865224873
